category,title,tags,age_rating,rating_description,description,representation,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
Entertainment,Susan Calman's Happy Space - Series 1: Episode 3,"BBC, iPlayer, TV, Susan Calmans Happy Space, Series 1: Episode 3",15,strong language,Susan Calman celebrates the unique things that bring people joy. With Jordan Young.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p09chxyv.jpg,28 mins,1680,8:30pm 1 Apr 2021,Susan Calman celebrates the unique things that bring people joy. With Jordan Young.,"Susan Calman celebrates the unique things that bring people joy. Two contributors pitch their passion, and Susan picks one to try out. Susan is joined by Jordan Young.",No data found
Entertainment,Celebrity MasterChef - Series 12: Episode 6,"BBC, iPlayer, TV, Celebrity MasterChef, Series 12: Episode 6",PG,language,2016 champion Alexis Conran is among those returning to help with the judging.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p05d1px0.jpg,89 mins,5325,8:30pm 1 Sep 2017,2016 champion Alexis Conran is among those returning to help with the judging.,"Returning contestants, including 2016 champion Alexis Conran, return to help John and Gregg decide which two celebrities should go through to the semi-finals.","The heat continues with the four remaining celebrities fighting for a place in the semi-finals. The first challenge they face is a knowledge and skills test, where they have to face John Torode and Gregg Wallace one by one and demonstrate their ability to identify a tray of ingredients, three root vegetables and three birds before being asked to cook a duck breast with swiss chard and a caper butter sauce in just 12 minutes.The celebrities are then split into teams and are sent out on a mass-catering challenge, which sees them making lunch for over 120 members of staff and players at The Oval cricket ground, home to Surrey County Cricket Club. With an array of ingredients, including beef mince, chicken supreme and sea bream, and a range of fruit and vegetables, the two teams must devise, prepare and serve the lunch, catering for various tastes while creating meat-based, vegetarian and dessert dishes in volume.It is then back to the MasterChef headquarters as the battle for semi-final places reaches its climax. The celebrities must now cook a faultless two-course meal that will not only be judged by John and Gregg but also by reigning Celebrity MasterChef champion Alexis Conran (2016) and finalists Louise Minchin (2016) and Sam Nixon (2015). Only the best two contestants can earn a semi-final place and come one step closer to winning the title of Celebrity MasterChef 2017."
Entertainment,RuPaul's Drag Race UK - Series 2: Episode 6,"BBC, iPlayer, TV, RuPauls Drag Race UK, Series 2: Episode 6",15,"language, sex references",Gemma Collins and Jessie Ware guest star.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p097500g.jpg,66 mins,3979,18 Feb 2021,Gemma Collins and Jessie Ware guest star.,Gemma Collins plays the iconic Snatch Game while singer Jessie Ware joins Michelle Visage and Alan Carr on the panel as another queen sashays away.,"The search for the UK�s Next Drag Race Superstar continues. This week the queens showcase their best celebrity impressions and improv skills, as they take on the iconic Snatch Game. Gemma Collins plays along too, but can the queens match her blankety blank? On the judging panel singer Jessie Ware joins Michelle Visage and Alan Carr as another queen sashays away�"
Entertainment,Celebrity Best Home Cook - Series 1: Episode 4,"BBC, iPlayer, TV, Celebrity Best Home Cook, Series 1: Episode 4",PG,language,The cooking competition continues with ultimate TV dinners and a divisive Rustle Up.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p096khym.jpg,59 mins,3540,9pm 3 Feb 2021,The cooking competition continues with ultimate TV dinners and a divisive Rustle Up.,"Seven celebrities cook their ultimate TV dinner and rustle up a dish with frozen peas to impress judges Mary, Angela and Chris in a bid to avoid the dreaded Eliminator.","The hunt to find the first Celebrity Best Home Cook is heating up as the competition nears its halfway point. The celebrities will once again be donning their aprons and rolling up their sleeves to impress produce expert Chris Bavin, Michelin star chef Angela Hartnett and queen of home cooking Dame Mary Berry. All with the socially distanced support of Claudia Winkleman. The first challenge takes us away from the dining table and into the living room as Mary Berry challenges the cooks to make their ultimate burger and chips for a TV dinner. Some of the celebrities keep it classic, opting for a good quality beef burger, oozing with melted cheese, while the others are hoping a vegetarian option or a delicate fish burger will be enough for them to get a Judges' Favourite and a step closer to avoiding the dreaded Eliminator. Day two gets off to a frosty start, as Chris reveals frozen peas as the secret ingredient that the celebrities must make the star of the dish for his Rustle Up challenge. One cook is particularly dis�pea�sed with the ingredient, while the others are excited by an Asian-inspired larder. With everything from curry to scones, the judges have a difficult decision deciding who will go through to next week and who will be cooking again for safety in this week�s Eliminator challenge.   Taking both challenges into consideration, the three judges decide who will be cooking again in this week's Eliminator following one of Angela�s toughest recipes to date. Judged blind, the tiniest of details can be the difference between survival and going home. Making a dough, deep frying and technical piping push the cooks to their limits and result in a shocking blind tasting by the three expert judges."
Entertainment,Strictly - It Takes Two - Series 19: Episode 25,"BBC, iPlayer, TV, Strictly - It Takes Two, Series 19: Episode 25",U,no material likely to offend or harm,Rylan has more Strictly exclusives ahead of the weekend�s Halloween extravaganza. ,3,https://ichef.bbci.co.uk/images/ic/1200x675/p0b1j1mc.jpg,29 mins,1743,6:30pm 29 Oct 2021,Rylan has more Strictly exclusives ahead of the weekend�s Halloween extravaganza.,"Rylan is on hand with more Strictly exclusives ahead of the weekend�s Halloween extravaganza, and head judge Shirley Ballas stops by for a chat.",Rylan is on hand with more Strictly exclusives ahead of the weekend�s Halloween extravaganza. Head judge Shirley Ballas stops by for a chat.  And we�re joined by a star-studded Friday Panel to discuss the couples' next dances.
Entertainment,Movies With Ali Plumb - The Suicide Squad,"BBC, iPlayer, TV, Movies With Ali Plumb, The Suicide Squad",15,"sustained threat, moderate violence","Margot Robbie, Idris Elba & director James Gunn on DC Comicss latest bad-guy epic.",1,https://ichef.bbci.co.uk/images/ic/1200x675/p09qnk17.jpg,22 mins,1291,30 Jul 2021,"Margot Robbie, Idris Elba & director James Gunn on DC Comics's latest bad-guy epic.","Margot Robbie, Idris Elba and director James Gunn talk to Ali Plumb about DC Comics's latest bad-guy superhero epic.",No data found
Entertainment,The British Academy Film Awards - 2022: 1. The Ceremony - Extended Version,"BBC, iPlayer, TV, The British Academy Film Awards, 2022: 1. The Ceremony - Extended Version",U,no material likely to offend or harm,Rebel Wilson hosts the EE British Academy Film Awards from the Royal Albert Hall.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p0btnhf9.jpg,141 mins,8478,13 Mar 2022,Rebel Wilson hosts the EE British Academy Film Awards from the Royal Albert Hall.,"Rebel Wilson hosts the EE British Academy Film Awards from the Royal Albert Hall, celebrating the very best of British and international film talent. Nominated films include Dune and Belfast.","The Royal Albert Hall in London rolls out the red carpet to celebrate the amazing achievements of those in front of and behind the camera during the past year in cinema. Presented by actress and comedian Rebel Wilson, the seventy-fifth British Academy Film Awards gathers together this year's nominees to find out who will be walking away with a coveted Bafta award this year. Nominated films include No Time to Die, Dune, Belfast, Licorice Pizza, King Richard, Don�t Look Up and The Power of the Dog. Highlights of the evening also include a celebration of James Bond's sixtieth birthday, with an exclusive performance from Dame Shirley Bassey and her orchestra, and a very special performance from Emilia Jones, the star of nominated film CODA."
Entertainment,Best Home Cook - Series 2: Episode 5,"BBC, iPlayer, TV, Best Home Cook, Series 2: Episode 5",PG,language,The remaining six cooks prepare dishes for an ultimate curry night.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p080z5xf.jpg,58 mins,3465,8pm 30 Jan 2020,The remaining six cooks prepare dishes for an ultimate curry night.,"The remaining six cooks prepare dishes for an ultimate curry night feast comprising two vegetable dishes, traditional bread and a fried snack.","The remaining six cooks prepare dishes for an ultimate curry night feast comprising two vegetable dishes, traditional bread and a fried snack. Two cooks take risks by using ingredients the judges haven�t tasted in curries before. Will their risks pay off?"
Entertainment,MasterChef - Series 13: Episode 1,"BBC, iPlayer, TV, MasterChef, Series 13: Episode 1",PG,language,A new series of the cookery competition begins.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p04z7x90.jpg,58 mins,3468,8pm 29 Mar 2017,A new series of the cookery competition begins.,A new series of the cookery competition begins as John Torode and Gregg Wallace return to the judging table on the hunt for the next MasterChef champion.,"Out of the hundreds that auditioned, 64 amateur cooks are through to battle it out over four weeks of heats, producing some of the most inspiring, exceptional and unusual food ever seen on the series.The first eight hopefuls try to prove to judges John Torode and Gregg Wallace that they have the potential to be the 2017 MasterChef Champion. This year sees the introduction of the all new MasterChef market, which is stocked full of amazing produce from all around the world as well as a selection of meat and fish. The first challenge is to invent and cook one dish using what's available in the market. On offer are pork mince, chicken breast and pancetta as well as halibut and mussels. They have an hour and twenty minutes to dazzle the judges and prove they are good enough to stay in the competition. The stakes are high in this round and it's important to choose wisely as, after tasting all eight dishes, John and Gregg decide which five cooks are good enough to stay, while three will be sent home.  The five remaining contestants now have one challenge standing between them and a quarter-final place. They must cook two courses that will excite not just John and Gregg but also some very special guests. Some of MasterChef's most inspiring winners and finalists return to judge the food of this year's new contenders. In this heat the contestants must attempt to impress last year's MasterChef finalists - Billy Wright, Jack Layer and champion Jane Devonshire.  After the five hopefuls have cooked, John and Gregg decide which three contestants deserve to take the next step and go through to the quarter-final."
Entertainment,Top Gear - Series 24: Episode 7,"BBC, iPlayer, TV, Top Gear, Series 24: Episode 7",15,contains mild violence and language,Matt drives an eight-wheeled rescue vehicle. Jamiroquai frontman Jay Kay is in the studio.,1,https://ichef.bbci.co.uk/images/ic/1200x675/p05y9989.jpg,60 mins,3576,8pm 23 Apr 2017,Matt drives an eight-wheeled rescue vehicle. Jamiroquai frontman Jay Kay is in the studio.,Matt LeBlanc drives an eight-wheeled rescue vehicle from Russia and Rory Reid turns the world's ugliest car into a luxury yacht. Jamiroquai frontman Jay Kay is the studio guest.,"Matt LeBlanc drives an eight-wheeled rescue vehicle from Russia, Rory Reid turns the world's ugliest car into a luxury yacht and Chris Harris reviews the new Porsche Cayman. Jamiroquai frontman Jay Kay is the studio guest."
Entertainment,MasterChef - Series 12: Episode 24,"BBC, iPlayer, TV, MasterChef, Series 12: Episode 24",PG,language,The remaining amateurs take on their most terrifying challenge yet - the Chefs Table.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p09ybbhq.jpg,58 mins,3465,5 May 2016,The remaining amateurs take on their most terrifying challenge yet - the Chef's Table.,"The final four cook a classic dish and put their stamp on it, before three amateurs go forward to take part in their most iconic and terrifying challenge yet - the Chef's Table.","It's the final week of MasterChef 2016. All the amateur cooks have just one goal: to lift the coveted MasterChef champion trophy.The final amateur cooks face their most iconic and terrifying challenge yet - the Chef's Table. It's the contestants' last chance to prove they have got what it takes, because the final challenge is just around the corner.Only three of the remaining four amateurs will get the chance to take part. For one, their MasterChef dream is about to come to an end. To fight for their place, John and Gregg challenge the amateurs to cook a classic dish with their stamp on it. Failure to impress will cost them because, after judging their dishes, John and Gregg will send one more amateur chef home.The final three contestants now face the ultimate challenge. Culinary talent Daniel Humm has designed an exquisite three-course menu for today's lunch, and each contestant will be responsible for one of his signature dishes. The dishes require complex techniques, precise cooking and an impeccable palate. To add to the pressure, the guests are a table of the country's finest chefs - Marcus Wareing, Sat Baines, Ashley Palmer-Watts, Clare Smyth and Nuno Mendes - a set of diners to strike fear into the heart of any professional chef, let alone our three amateurs.Emotions run high as no one wants to let Daniel or the table of esteemed chefs down. For the final three, it's their last chance before the final to prove they have what it takes to lift the MasterChef trophy."
Entertainment,Top Gear - Series 17: Episode 6,"BBC, iPlayer, TV, Top Gear, Series 17: Episode 6",15,contains mild violence and language,The Lamborghini Aventador flexes its muscles on the track.,1,https://ichef.bbci.co.uk/images/ic/1200x675/p09fzy3t.jpg,60 mins,3618,8pm 31 Jul 2011,The Lamborghini Aventador flexes its muscles on the track.,"Motoring show. Jeremy Clarkson and James May go on a trip to the British seaside in two new electric cars, whilst Richard Hammond meets the world's most extraordinary rally team.","Jeremy Clarkson and James May embark on a trip to the British seaside in two new electric cars, taking an impromptu and thoroughly informative visit to Lincoln along the way.Richard Hammond meets the world's most extraordinary rally team and another celebrity guest hits the track in the Reasonably Priced Car. Plus the Lamborghini Aventador flexes its muscles on the track."
Entertainment,The Graham Norton Show - Series 29: 22. Compilation Show 2,"BBC, iPlayer, TV, The Graham Norton Show, Series 29: 22. Compilation Show 2",15,"language, sex references","More highlights from the series, with Adele, Ant and Dec, Olivia Colman and RuPaul.",3,https://ichef.bbci.co.uk/images/ic/1200x675/p09wr34s.jpg,49 mins,2944,10:55pm 11 Mar 2022,"More highlights from the series, with Adele, Ant and Dec, Olivia Colman and RuPaul.","More highlights from the series, featuring Adele, Kenneth Branagh, Cate Blanchett, Ant and Dec, Helen Mirren, Benedict Cumberbatch, Dawn French, Olivia Colman, Martin Freeman and RuPaul.","The second of two compilations of highlights from the recent series, featuring a host of stars including Adele, Kenneth Branagh, Cate Blanchett, Ant and Dec, Andrew Garfield, Helen Mirren, Benedict Cumberbatch, Penelope Cruz, Stanley Tucci, Dawn French, James McAvoy, Olivia Colman, Martin Freeman, Vicky McClure, RuPaul, Ricky Gervais."
Entertainment,The Rap Game UK - Extras: How To Build An Online Audience,"BBC, iPlayer, TV, The Rap Game UK, Extras: How To Build An Online Audience",12,mild language,Online rap personalities share secrets of how they were able to grow their audience.,2,https://ichef.bbci.co.uk/images/ic/1200x675/p07pjm5q.jpg,5 mins,271,28 Sep 2019,Online rap personalities share secrets of how they were able to grow their audience.,Online personalities in the rap industry share some of the secrets of how they were able to grow their audience.,No data found
Entertainment,MasterChef - Series 16: Episode 16,"BBC, iPlayer, TV, MasterChef, Series 16: Episode 16",PG,language,Knockout Week begins with just 16 amateur chefs remaining.,3,https://ichef.bbci.co.uk/images/ic/1200x675/p088fnlx.jpg,58 mins,3486,9pm 30 Mar 2020,Knockout Week begins with just 16 amateur chefs remaining.,"After five weeks of fiercely competitive heats, 16 amateur cooks remain to battle it out in Knockout Week.","After five weeks of fiercely competitive heats, 16 amateur cooks remain to battle it out in Knockout Week. All of them have just one goal: to lift the coveted MasterChef trophy.Over the next two nights, the heat intensifies as the contestants are split into two groups. The first group of eight returns to compete for the chance to experience the pressure of a professional kitchen for the first time. They must cook a dish for John and Gregg that they would have on the menu of their own restaurant or feature in a cookbook. After this challenge, three of them will be going home.The remaining five contestants then head to east London, where they will be working under one of the country�s most exciting young talents, chef Rafael Cagali. Originally from Brazil, Rafael mastered his trade working for some of Europe�s legendary Michelin-starred chefs. In 2019 he opened Da Terra, serving dishes inspired by his South American roots and the time he had spent in Europe and Asia. Within eight months, his restaurant had earned its first Michelin star. During a busy lunch service, the five amateurs will be entirely responsible for serving the restaurant�s menu to paying customers. Who will buckle under the intense pressure as they cook in a demanding and totally new environment?In a competition where only the food matters, these amateurs will need to stand out to survive - taking another precious step towards being crowned MasterChef champion 2020."
