category,title,tags,age_rating,rating_description,description,representation,image,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large
Signed,The Mating Game - Series 1: 4. Freshwater: Timing Is Everything - Signed,"BBC, iPlayer, TV, The Mating Game, Series 1: 4. Freshwater: Timing Is Everything",PG,"animal fighting, very mild threat, animal mating",The cycle of freshwater triggers spectacular mating rituals and fierce competition.,,https://ichef.bbci.co.uk/images/ic/1200x675/p09z41sr.jpg,58 mins,3476,8pm 24 Oct 2021,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,"Freshwater is often the stage on which millions of animals gather to find a mate, and the cycle of freshwater is the trigger for spectacular mating rituals and fierce competition.","Freshwater covers only a tiny fraction of the earth’s surface, but it is a vital meeting place for many animals - the stage on which millions gather to find a mate. Yet with so little of it available, and often only briefly, the challenge for most individuals is how to overcome intense competition when your rivals are just as dependent on the precious freshwater for their success. Whether it is from melting ice, torrential rain or shrinking wetlands, the cycle of freshwater is the trigger for spectacular mating rituals and fierce combat.The start of the rains in South Africa triggers a violent battle between male giant African bullfrogs. Rare hooded grebes in Patagonia perform one of nature’s more comical dances to seduce their partner, and a male cichlid fish builds a home for his harem from old snail shells, but a sneaky dwarf has the last laugh there.The mating season for animals that live in freshwater is often determined by when is best for their new offspring - even if that moment is far from ideal for the parents. In the wetlands of Zambia, female lechwe antelope search for the strongest males while contending with drought, and in the Pantanal of Brazil at the end of the dry season, caimans congregate in huge numbers around the last remaining water to perform their spectacular displays.For all those dependent on the cycle of freshwater to breed, timing is everything."
Signed,The Next Step - Series 4: 14. I Can't Go For That - Signed,"BBC, iPlayer, TV, The Next Step, Series 4: 14. I Cant Go For That",U,"language, threat","Riley has to choose a date for a gala, and Skylar struggles to fit in with A-Troupe.",3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p04dbg13.jpg,22 mins,1302,4:30pm 31 Oct 2016,"Riley has to choose a date for a gala, and Skylar struggles to fit in with A-Troupe.","Reality-style drama series. Riley has to choose a date for an industry gala, Skylar struggles to fit in with A-Troupe, and LaTroy has a very confusing day.","Riley has to choose a date for an industry gala, Skylar struggles to fit in with A-Troupe, and LaTroy has a very confusing day."
Signed,Amazing Hotels: Life Beyond the Lobby - Series 4: 5. Qasr Al Sarab Desert Resort - Signed,"BBC, iPlayer, TV, Amazing Hotels: Life Beyond the Lobby, Series 4: 5. Qasr Al Sarab Desert Resort",12,infrequent mild bad language,Giles Coren and Monica Galetti visit a hotel in a Middle Eastern desert.,,https://ichef.bbci.co.uk/images/ic/1200x675/p0bnbttn.jpg,59 mins,3540,9pm 15 Feb 2022,Giles Coren and Monica Galetti visit a hotel in a Middle Eastern desert.,Giles Coren and Monica Galetti visit an extraordinary hotel built where people usually struggle to survive - deep in a Middle Eastern desert.,"Giles Coren and Monica Galetti visit Qasr Al Sarab Desert Resort, an extraordinary hotel built where people usually struggle to survive - deep in a Middle East desert.Surrounded as far as they eye can see by vast sand dunes and scorching heat, guests relax in palatial comfort with swimming pools, huge baths and lush gardens. Giles and Monica explore how all this water use is made possible and meet the staff who are coping with living and providing hotel service in such an extreme environment."
Signed,Gigglebiz - Series 4: Episode 23,"BBC, iPlayer, TV, Gigglebiz, Series 4: Episode 23",U,clean,Rapids Johnson enjoys an ice cream on his search for the Ice Cream Bear.,1.0,https://ichef.bbci.co.uk/images/ic/1200x675/p02kc9s5.jpg,14 mins,855,5:15pm 25 Feb 2015,Rapids Johnson enjoys an ice cream on his search for the Ice Cream Bear.,Comedy sketch show for younger viewers. Rapids Johnson enjoys an ice cream on his search for the Ice Cream Bear and Storybook Stan is distracted by some chewy toffees.,"There are lots of tasty treats in Gigglebiz. Rapids Johnson enjoys an ice cream on his search for the Ice Cream Bear and Storybook Stan is distracted by some chewy toffees. When an ice cream seller turns up, Ann Teak finds another use for an antique Viking helmet.Will Barrow builds a slide for all the cheeky animals in the garden. News reader Arthur Sleep catches up on some sleep in the newsroom and Keith Fitt has a go at the limbo.There's one more tasty treat when Robin Hood bakes a cake for Maid Marion but his singing minstrel Will Singalot asks 'did he really bake that cake?' Plus another knock knock joke, the Gigglekids and funny dancing in Silly Time."
Signed,Civilisations - Series 1: 9. The Vital Spark - Signed,"BBC, iPlayer, TV, Civilisations, Series 1: 9. The Vital Spark",15,"strong sex references, disturbing images",Simon Schama explores the fate of art in the machine- and profit-driven world.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p060mfcz.jpg,59 mins,3539,1 Mar 2018,Simon Schama explores the fate of art in the machine- and profit-driven world.,"Documentary. Simon Schama explores the fate of art in the machine- and profit-driven world, looking at the rise of art as a tradeable commodity.","Simon Schama begins Civilisations with this premise: that it is in art - the play of the creative imagination - that humanity expresses its most essential self: the power to break the tyranny of the humdrum, the grind of everyday. Art makes life worth living and is the great window into human potential. And societies become civilised to the extent that they take culture as seriously as the prosecution of power or the accumulation of wealth. But in the century of total war and industrial slaughter, was (and is) that enough? The cause of humanity went up in the smoke of the Nazi crematoria. Horror and terror brushed beauty aside and stamped on its pretensions. In the modern world, art has become increasingly commodified. Simon's last programme explores the fate of art in the machine- and profit-driven world. It looks at the rise of art as a tradeable commodity and turns on one central question. Should art create a realm separate from the modern world, a place where we can escape and pull the ladder up after us? Or should it plunge headlong into the chaos and cacophony while transforming the way we see it and live in it?Using the works of both dead and contemporary artists of the 20th and 21st centuries, Simon seeks answers to these profound questions. His conclusion is imbued with hope: despite all the travails of the present, by engaging with the here-and-now, art still offers civilisation an insight into the incomprehensibility of the world and a way to transcend its horrors with the enduring creativity of the human spirit."
Signed,BBC Trailers - Peaky Blinders Series 6,"BBC, iPlayer, TV, BBC Trailers, Peaky Blinders Series 6",18,"strong language, violence",Family. Loyalty. Honour. The Shelbys are back for an epic final series,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p0bc4t79.jpg,1 min,60,27 Feb 2022,Family. Loyalty. Honour. The Shelbys are back for an epic final series,Family. Loyalty. Honour. The Shelbys are back for an epic final series.,Family. Loyalty. Honour. The Shelbys are back for an epic final series.
Signed,Doctor Who - Series 3: 7. 42,"BBC, iPlayer, TV, Doctor Who, Series 3: 7. 42",PG,"mild violence, threat, scary scences",The Doctor and Martha must stop a spaceship from hurtling into the sun.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p069j2yr.jpg,45 mins,2725,7:15pm 19 May 2007,The Doctor and Martha must stop a spaceship from hurtling into the sun.,The Doctor and Martha must stop a spaceship from hurtling into the sun. But time and a malevolent alien force are against them.,No data found
Signed,Hey Duggee - Top of the Pups: The A Cappella Song,"BBC, iPlayer, TV, Hey Duggee, Top of the Pups: The A Cappella Song",U,clean,The Singing Squirrels are joined by none other than Hot Cheap for an impromptu sing off!,,https://ichef.bbci.co.uk/images/ic/1200x675/p08hb7fy.jpg,1 min,73,20 Sep 2021,The Singing Squirrels are joined by none other than Hot Cheap for an impromptu sing off!,The Singing Squirrels are joined by none other than Hot Cheap for an impromptu sing off!,No data found
Signed,Andy's Dinosaur Adventures - 2. Diplodocus and Fern - Signed,"BBC, iPlayer, TV, Andys Dinosaur Adventures, 2. Diplodocus and Fern",U,mild threat,"Andy travels back in time 152 million years, to the time of diplodocus.",1.0,https://ichef.bbci.co.uk/images/ic/1200x675/p07hxrd2.jpg,14 mins,834,18 Feb 2014,"Andy travels back in time 152 million years, to the time of diplodocus.","Children's dinosaur history series. Andy travels back in time 152 million years, to the time of diplodocus.","Andy travels back in time 152 million years, to the time of diplodocus - a massive 25-metre-long plant-eating dinosaur. His mission is to find and pick a giant fern to replace the one he accidentally broke back at the museum. Along the way he witnesses an adult diplodocus knocking down trees with its front legs. Will he succeed before the museum opens?"
Signed,Bluey - Series 1: 9. Hotel - Signed,"BBC, iPlayer, TV, Bluey, Series 1: 9. Hotel",U,clean,"Bluey and Bingo run a crazy hotel, with Dad as their put upon guest.",,https://ichef.bbci.co.uk/images/ic/1200x675/p09dr3rh.jpg,7 mins,403,26 Apr 2021,"Bluey and Bingo run a crazy hotel, with Dad as their put upon guest.","Bluey and Bingo run a crazy hotel, with Dad as their put upon guest. But when Bingo quits over Bluey being too controlling, Dad needs to teach them the importance of compromise.","Bluey and Bingo run a crazy hotel, with Dad as their put upon guest. But when Bingo quits over Bluey being too controlling, Dad needs to teach them the importance of compromise."
Signed,Topsy and Tim - Series 1: 23. Wrapping Paper - Signed,"BBC, iPlayer, TV, Topsy and Tim, Series 1: 23. Wrapping Paper",U,clean,The supermarket delivery brings Vindas birthday card and present but no wrapping paper.,1.0,https://ichef.bbci.co.uk/images/ic/1200x675/p01szwkw.jpg,11 mins,664,5:30pm 5 Mar 2014,The supermarket delivery brings Vinda's birthday card and present but no wrapping paper.,Live-action children's show. The supermarket delivery brings Vinda's birthday card and present but no wrapping paper.,"When the supermarket delivery brings Vinda's birthday card and present but no wrapping paper, Topsy and Tim decide to make their own paper for wrapping Vinda's gift."
Signed,Antiques Roadshow - Series 43: Windermere Jetty 2 - Signed,"BBC, iPlayer, TV, Antiques Roadshow, Series 43: Windermere Jetty 2",U,clean,The Roadshow comes from the shores of Lake Windermere in the Lake District.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p09gxkdj.jpg,58 mins,3475,9 May 2021,The Roadshow comes from the shores of Lake Windermere in the Lake District.,"The roadshow comes from the Jetty Museum on the shores of Lake Windermere in the Lake District, where finds include a Cherokee pipe and a unique piece of footballing history.","The Roadshow comes from the Windermere Jetty Museum in the Lake District where treasures turning up include a Cherokee pipe, a wooden decoy duck that was served at a banquet, a WWI portrait with an amazing story to tell and a unique piece of football memorabilia. Also, Fiona Bruce hears the heartbreaking story of the Windermere children, orphans rescued from Nazi concentration camps at the end of the Second World War to rebuild their lives on the shores of this tranquil lake."
Signed,Celebrity MasterChef - Series 16: Episode 13 - Signed,"BBC, iPlayer, TV, Celebrity MasterChef, Series 16: Episode 13",PG,language,"In the first semi-final, the celebrities are tested on their teamwork. ",3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p09tncg7.jpg,58 mins,3495,9pm 8 Sep 2021,"In the first semi-final, the celebrities are tested on their teamwork.","In the first semi-final, the celebrities are tested on their teamwork. Split into two teams, they must cook not together but in relay, without telling each other what they have done.","After four weeks of intense competition, the best eight cooks remain. In the first of the semi-finals, the celebrities are tested on their teamwork. Split into two teams, the celebrities must design and create two mouthwatering dishes. But they won’t be cooking alongside each other they will be cooking in relay. Using a whole duck for the main course and pears for the dessert, each team member has 20 minutes to make their contribution to the dishes, but being unable to talk to one another, each cook must try to work out what the dishes are meant to be from the clues left behind by their teammates and then carry on. With everyone feeling the pressure to succeed, will the celebrities be able to create something successful?Next, the celebrities are asked to push the boundaries of the everyday by guest chef and sandwich king Max Halley. After demonstrating his secrets of deliciousness in a sandwich – hot, cold, sweet, sour, crunchy, soft – the celebrities must get creative and come up with their own dream sandwich. Everything rides on the success of their sandwich because at the end of the challenge one celebrity will be going home, their dream of becoming Celebrity MasterChef champion 2021 over."
Signed,Dani's House - Series 1: 13. House for Sale - Signed,"BBC, iPlayer, TV, Danis House, Series 1: 13. House for Sale",U,clean,The friends discover to their horror that Danis house is up for sale.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p089jlnm.jpg,28 mins,1690,4:35pm 19 Dec 2008,The friends discover to their horror that Dani's house is up for sale.,Surreal sitcom. The friends discover to their horror that Dani's house is up for sale - at least if Max and a greedy estate agent have anything to do with it.,"The friends discover to their horror that Dani's house is up for sale - at least if Max and his greedy mentor, estate agent Edgar Molloy, have anything to do with it. Can Dani scupper their plans or is this the end for Dani and her friends?"
Signed,Nova Jones - Series 1: 4. Green-Eyed Nova - Signed,"BBC, iPlayer, TV, Nova Jones, Series 1: 4. Green-Eyed Nova",12,,Nova resorts to desperate measures when she struggles to hide her green-eyed monster.,3.0,https://ichef.bbci.co.uk/images/ic/1200x675/p09zhhsw.jpg,24 mins,1445,22 Sep 2021,Nova resorts to desperate measures when she struggles to hide her green-eyed monster.,"Nova is top of the charts until Johnarchy and the Monarchy release their awesome single, leading her to resort to desperate measures to hide her green-eyed monster.",No data found
