showId,category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
12,CBBC,"The Next Step - Series 7: 20. Dance, Dance, Resurrection","BBC, iPlayer, TV, The Next Step, Series 7: 20. Dance, Dance, Resurrection",U,clean,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,3.0,22 mins,1310,5pm 15 Jul 2020,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,"A-Troupe reels from the news that they have lost their best dancer and turn to a familiar face to replace them. As Emily mulls over her enticing offer, Nick makes a counter offer, making it impossible for Emily to decide. Piper worries that Finn’s chronic lateness may spell trouble for A-Troupe's chances at success.",https://ichef.bbci.co.uk/images/ic/1200x675/p08jmwgf.jpg
13,CBBC,The Demon Headmaster - Series 1: 5. Be More Hazelbrook,"BBC, iPlayer, TV, The Demon Headmaster, Series 1: 5. Be More Hazelbrook",PG,mild threat,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,3.0,27 mins,1597,5pm 11 Nov 2019,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,"With the Headmaster away, the gang plan to replace him with someone who will free Hazelbrook - but their actions trigger unexpected consequences.","Lizzie is burdened by the secret of Ethan’s past, but should she tell him? While Lizzie struggles with her moral dilemma, the rest of the gang get excited at a huge opportunity - the Headmaster is leaving the school premises to tour the schools he intends to hoodwink into joining the Hazelbrook Academy chain. With the Headmaster away, the gang will play - but how?",https://ichef.bbci.co.uk/images/ic/1200x675/p07td626.jpg
14,CBBC,Operation Ouch! - Series 7: 4. Don’t Pick Your Scabs!,"BBC, iPlayer, TV, Operation Ouch!, Series 7: 4. Don’t Pick Your Scabs!",PG,"injury detail, rude humour, threat","Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.",3.0,28 mins,1667,16 Jan 2019,"Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – a navigation technique used by bats – is helping visually impaired patients.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – an amazing navigation technique used by bats to fly in the dark – is helping visually impaired patients. There’s a new body trick to make things look bigger, and it’s time to meet our first ever Ouch Award nominees. Meanwhile, in the emergency department, a broken leg requires surgery after a clash with a diving board and another patient has their finger stuck in a toy truck.",https://ichef.bbci.co.uk/images/ic/1200x675/p06y4822.jpg
15,CBBC,Horrible Histories - Series 9: 4. Precious Planet,"BBC, iPlayer, TV, Horrible Histories, Series 9: 4. Precious Planet",PG,mild injury detail,Charles Darwin hosts a look at how we’ve treated the planet throughout history. ,3.0,29 mins,1739,1 Nov 2021,Charles Darwin hosts a look at how we’ve treated the planet throughout history.,"Charles Darwin hosts a timely look at how we’ve treated the planet throughout history. With Henry VIII, the inventor of the plastic bag and Judge Rinder!","Charles Darwin presents a special show, as Horrible Histories takes a timely look at our planet and how we’ve behaved towards it throughout history.We look at how we’ve not always treated the planet's resources with the utmost care, from the 19th-century gold rush, to Henry VIII enjoying a little too much deforestation to build his warships In The Gone Show, we meet a range of animals that have recently become extinct, and we see how mankind has tried to work with and shape the land, from the earliest guides to farming to the fabulous Gardens of Versailles In Historical Educating, head teacher Mrs Thomas has trouble with her geography supply teachers (a Greek philosopher and a Viking), who seem intent on telling their pupils that the Earth is not round. We reveal that plastic bags were originally invented to save the planet, and in Time Beefs, Judge Rinder settles a dispute between environmentalist Rachel Carson and the businessmen who tried to stop her.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b11pzp.jpg
17,CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,clean,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",3.0,25 mins,1495,22 Nov 2021,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?","It’s the last day of school, and Miss Grayling is to sign away Malory Towers for ever! Will Darrell and Sally’s dramatic discovery save the school?",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p0b4k3ry.jpg
18,CBBC,Pokémon: Diamond and Pearl - Series 12 - Galactic Battles: 15. Trials and Adulations!,"BBC, iPlayer, TV, Pokémon: Diamond and Pearl, Series 12 - Galactic Battles: 15. Trials and Adulations!",U,clean,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,,20 mins,1223,22 Oct 2021,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,"Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water.","Making their way through a giant forest on the way to Snowpoint City, Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water. Her other Pokémon can’t stand up to this menace, so she reluctantly calls out Mamoswine… who won’t listen to her commands.",https://ichef.bbci.co.uk/images/ic/1200x675/p09z7pbh.jpg
19,CBBC,Eve - Series 3: 4. Possession,"BBC, iPlayer, TV, Eve, Series 3: 4. Possession",PG,mild threat,Mary resorts to extreme measures to head off the threat of Cain and Price.,3.0,28 mins,1690,4:30pm 9 Nov 2016,Mary resorts to extreme measures to head off the threat of Cain and Price.,"Sci-fi drama series. Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve.","Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve. With KT missing, a distracted Nick and Katherine welcome back Zac, who is helping them answer questions about how Mary was able to duplicate his personality. Excited about Zac's return, Eve suggests he join the gang's picnic that afternoon. To everyone's surprise Zac brings his new girlfriend, and for the first time Eve experiences jealousy. Spotting KT hovering nearby puts Eve on high alert. Operating under Protocol Zero, KT is Mary's automaton, and is primed to execute her mother's plan.",https://ichef.bbci.co.uk/images/ic/1200x675/p04dy4gz.jpg
20,CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,clean,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,,7 mins,420,3:50pm 18 Nov 2016,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,"Animated Series. When Timmy sees a farmer giving one of the flock a hard time, he decides to show him what it's like to be a sheep.","When Timmy sees a particularly grumpy farmer giving one of the flock a hard time, he decides to give him an idea of what it's like to be a sheep. But when the time comes to have the old farmer back, things aren't quite so simple.",https://ichef.bbci.co.uk/images/ic/1200x675/p0723hjb.jpg
21,CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,clean,The kids accidentally destroy a beloved family photo.,,11 mins,661,7:35am 25 Jun 2020,The kids accidentally destroy a beloved family photo.,The kids accidentally destroy a beloved family photo and decide to make it up to Mom and Dad by hiring a photographer to take a new one.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p08h49b6.jpg
22,CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,contains mild fantasy violence and threat,Tom and Benny suffer from Gemma Ravens curse.,3.0,28 mins,1706,5pm 19 Nov 2013,Tom and Benny suffer from Gemma Raven's curse.,"Fantasy adventure drama. Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why.","Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why. But can friendship overcome the darkest powers of magic?",https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg
23,CBBC,Danger Mouse - Series 1: 24. Escape from Big Head,"BBC, iPlayer, TV, Danger Mouse, Series 1: 24. Escape from Big Head",U,very mild fantasy action,The Big Head base computer locks up everyone in a maximum security prison.,,11 mins,664,7:25am 24 Feb 2016,The Big Head base computer locks up everyone in a maximum security prison.,"Animated series. Squawkencluck reboots the Big Head base computer, which immediately locks up everyone in a maximum security prison.","Squawkencluck reboots the now 100 per cent reliable Big Head base computer, which immediately locks up everyone in a maximum security prison.",https://ichef.bbci.co.uk/images/ic/1200x675/p03jvhpy.jpg
25,CBBC,Danger Mouse - Series 1: 5. Pink Dawn,"BBC, iPlayer, TV, Danger Mouse, Series 1: 5. Pink Dawn",U,very mild fantasy action,Supervillain the Princess is determined to pinkify the world.,,11 mins,666,2 Oct 2015,Supervillain the Princess is determined to pinkify the world.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us!,https://ichef.bbci.co.uk/images/ic/1200x675/p033cvzh.jpg
32,Films,Lara Croft: Tomb Raider,"BBC, iPlayer, TV, Lara Croft: Tomb Raider",15,contains frequent moderate violence,The heroine races against time to find a relic before it falls into the wrong hands.,3.0,94 mins,5614,2001,The heroine races against time to find a relic before it falls into the wrong hands.,Action tale adapted from the popular video game in which the eponymous heroine (Angelina Jolie) races against time to find an ancient relic before it falls into the wrong hands.,"Action tale adapted from the popular video game in which the eponymous heroine races against time to find an ancient relic before it falls into the wrong hands. Leaving behind her life of luxury, the highly trained adventurer travels to exotic and dangerous locales, where she battles a variety of fantastical creatures in the knowledge that the fate of mankind rests in her hands.",https://ichef.bbci.co.uk/images/ic/1200x675/p07j8bh3.jpg
37,Films,My Feral Heart,"BBC, iPlayer, TV, My Feral Heart",12,"infrequent strong language, moderate sex references",A young man with Down’s syndrome is forced into a care home after the death of his mother.,3.0,75 mins,4500,2016,A young man with Down’s syndrome is forced into a care home after the death of his mother.,"Film drama. Luke, a young man with Down’s syndrome who prizes his independence, is forced into a care home after his mother dies. There he makes friends with a mysterious girl.","Luke, a young man with Down’s syndrome who prizes his independence, is forced into a care home after the death of his mother. There he rails against the restrictions imposed on him, but his frustrations are allayed by his budding friendships with his care worker Eve and a mysterious feral girl.",https://ichef.bbci.co.uk/images/ic/1200x675/p099dmwd.jpg
38,Films,A Lonely Place to Die,"BBC, iPlayer, TV, A Lonely Place to Die",15,"contains strong language, bloody violence",A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,3.0,95 mins,5708,10pm 23 Jan 2021,A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.They become caught up in a terrifying game of cat and mouse with the kidnappers as they try to get the girl to safety.,https://ichef.bbci.co.uk/images/ic/1200x675/p094bkdv.jpg
39,Films,The Man in the White Suit,"BBC, iPlayer, TV, The Man in the White Suit",U,satire jokes,Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.,1.0,82 mins,4912,1951,Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.,Biting Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre but finds that everyone wants to destroy his formula.,"Biting Ealing satire about an eccentric research scientist working in a menial job in a textile factory, who invents a fabric that never gets dirty and never wears out. When the tycoons of the clothes industry discover his secret, they ruthlessly set out to destroy the formula, and the scientist is forced to go on the run, wearing a suit made from the miracle yarn, with just about everyone in pursuit.",https://ichef.bbci.co.uk/images/ic/1200x675/p09pcs1c.jpg
40,Films,Blind Ambition,"BBC, iPlayer, TV, Blind Ambition",12,"infrequent strong language, brief real violence",Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,2.0,59 mins,3549,10pm 1 Aug 2021,Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,TV director Jamie O’Leary faces eye surgery that could lead to sight loss. He goes on a journey with blind comedian Jamie MacDonald to see how blind artists achieve their vision.,"Jamie O’Leary has terrible sight, and is now facing eye surgery that could potentially lead to sight loss. A television director for almost 20 years, Jamie has produced groundbreaking programmes that take a fresh look at disability, as well as making popular travelogue shows with some of the UK’s funniest talent, including Karl Pilkington, Romesh Ranganathan and Katherine Ryan.At this pivotal point in his life, O’Leary wants to explore how people cope with sight loss and how blind artists achieve their creative vision of a world they see from a unique perspective. So he has hooked up with blind observational comedian Jamie MacDonald to bring light and shade to facing the condition. Together, they’re on a blind-leading-the-nearly-blind mission to uncover and collaborate with the best blind creative talent.",https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg
41,Films,Rush,"BBC, iPlayer, TV, Rush",15,"strong language, sex, bloody injury detail",The story of the rivalry between 1970s F1 champions Niki Lauda and James Hunt.,2.0,110 mins,6600,2013,The story of the rivalry between 1970s F1 champions Niki Lauda and James Hunt.,"The story of the rivalry between legendary F1 racing champions Niki Lauda and James Hunt, two charismatic drivers with entirely different approaches and personalities.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p08k2f7f.jpg
42,Films,Anne of Green Gables,"BBC, iPlayer, TV, Anne of Green Gables",PG,"mild threat, upsetting scenes",The story of a young orphan girl who is adopted by a pair of farmers.,1.0,74 mins,4466,1934,The story of a young orphan girl who is adopted by a pair of farmers.,Adaptation of LM Montgomery's classic about a middle-aged brother and sister who apply to adopt a boy to help on their farm but are sent a girl instead.,"Adaptation of LM Montgomery's Canadian classic following the adventures of determined, imaginative optimist Anne Shirley. Middle-aged brother and sister Matthew and Marilla Cuthbert want some help on the farm so they decide to adopt a boy. However, the orphanage sends them a girl by mistake.",https://ichef.bbci.co.uk/images/ic/1200x675/p08xzbfy.jpg
46,Films,Versus - The Life and Films of Ken Loach,"BBC, iPlayer, TV, Versus - The Life and Films of Ken Loach",12,infrequent strong language,"Ken Loach reflects on his career, with comments from colleagues, friends and family.",1.0,90 mins,5371,2015,"Ken Loach reflects on his career, with comments from colleagues, friends and family.","Biographical documentary. Ken Loach reflects on his often controversial career, with comments from colleagues, friends and family.","Ken Loach, who has been making socially aware dramas and documentaries for over 50 years, reflects on his often controversial career, with comments from colleagues, friends and family. Successes like Cathy Come Home, Kes and Palm d'Or winning The Wind that Shakes the Barley are matched by tales of projects shelved or pilloried, a stage play cancelled during rehearsals, and a personal tragedy.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b5vn0y.jpg
47,Films,Judy,"BBC, iPlayer, TV, Judy",12,"drug misuse, infrequent strong language",Judy Garland arrives in London in the winter of 1968 to perform a series of concerts.,3.0,109 mins,6513,2019,Judy Garland arrives in London in the winter of 1968 to perform a series of concerts.,Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts. From BBC Films.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p0b8rsw6.jpg
49,Films,She Wore a Yellow Ribbon,"BBC, iPlayer, TV, She Wore a Yellow Ribbon",PG,mild violence,A US cavalry officer suffers a setback on his last mission. Starring John Wayne.,1.0,99 mins,5959,1949,A US cavalry officer suffers a setback on his last mission. Starring John Wayne.,"Western drama with John Wayne as a US cavalry officer on his last duty before retiring, escorting two women civilians to a stagecoach. The second in John Ford's cavalry trilogy.","In the second in John Ford's cavalry trilogy, a US cavalry officer suffers a setback on his last mission and is 'retired' before he can take further action. To avert a full-scale war, he decides to act alone.",https://ichef.bbci.co.uk/images/ic/1200x675/p08y06lt.jpg
50,Films,Man on the Moon,"BBC, iPlayer, TV, Man on the Moon",15,contains strong language,"Biopic of controversial comedian and star of Taxi and Saturday Night Live, Andy Kaufman.",3.0,110 mins,6578,1999,"Biopic of controversial comedian and star of Taxi and Saturday Night Live, Andy Kaufman.","Biopic of controversial comedian Andy Kaufman. Star of Taxi and Saturday Night Live, Kaufman's unorthodox humour was often misunderstood. With Jim Carrey and Courtney Love.","Biopic of controversial comedian Andy Kaufman, starring Jim Carrey. Star of Taxi and Saturday Night Live, Kaufman was a troubled individual for whom the boundaries of reality and stage performance were often blurred. Frequently misunderstood, even by those closest to him, he remained a strictly maverick entertainer until his untimely death from lung cancer in 1984.",https://ichef.bbci.co.uk/images/ic/1200x675/p05mwz8b.jpg
57,Films,Wallace and Gromit: A Close Shave,"BBC, iPlayer, TV, Wallace and Gromit: A Close Shave",U,clean,"While Wallace is distracted by a romance, Gromit is framed for sheep rustling.",,30 mins,1801,1995,"While Wallace is distracted by a romance, Gromit is framed for sheep rustling.","Oscar-winning animated comedy thriller. While Wallace is distracted by a romance with the local wool shop owner, Gromit is framed for sheep rustling in a fiendish criminal plot.","Oscar-winning claymation comedy thriller from Nick Park, featuring the popular inventor and his dog. Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep rustling in a fiendish criminal plot, meeting a sheep named Shaun along the way. Will Wallace snap out of his daze in time to rescue his canine companion?",https://ichef.bbci.co.uk/images/ic/1200x675/p05jw5dy.jpg
62,Films,Mystify: Michael Hutchence,"BBC, iPlayer, TV, Mystify: Michael Hutchence",12,"moderate sex references, depression","An intimate portrait of Michael Hutchence, lead singer of INXS.",1.0,97 mins,5834,9:20pm 28 Dec 2019,"An intimate portrait of Michael Hutchence, lead singer of INXS.","A journey into the heart and soul of Michael Hutchence, internationally renowned lead-singer of INXS.","A journey into the heart and soul of Michael Hutchence, internationally renowned lead-singer of INXS, a complex and shy man who spent the bulk of his life in the public eye, rarely revealing his true self to anyone except his very close friends. Rare archive footage and intimate insights from friends, lovers, family, colleagues and Michael Hutchence himself, portray his life from the beginning of his fractured family background to the peaks of rock stardom and down into the depths after a freak accident in Copenhagen removed his sense of taste and smell and seriously affected his ability to deal with his unravelling personal and professional life.A feature-length theatrical documentary written and directed by Richard Lowenstein, director of the majority of both INXS and Michael’s music videos and the 1986 feature film, Dogs in Space, in which Michael played the lead.",https://ichef.bbci.co.uk/images/ic/1200x675/p07ycgpr.jpg
65,Films,"I, Tonya","BBC, iPlayer, TV, I, Tonya",15,"very strong language, domestic abuse","Seeking figure-skating success, Tonya Harding (Margot Robbie) instead finds notoriety.",3.0,111 mins,6660,2017,"Seeking figure-skating success, Tonya Harding (Margot Robbie) instead finds notoriety.","Darkly comic recreation of a sporting scandal. Seeking figure-skating success, Tonya Harding instead finds notoriety.","Seeking figure-skating success, Tonya Harding instead finds notoriety in this darkly comic recreation of a sporting scandal. Featuring a multi-award-winning performance from Allison Janney.",https://ichef.bbci.co.uk/images/ic/1200x675/p08r658w.jpg
66,Documentaries,Around the World in 80 Days - 7. Dateline to Deadline,"BBC, iPlayer, TV, Around the World in 80 Days, 7. Dateline to Deadline",PG,mild sex references,"With 22 days to go, delays, misunderstandings and a bomb impede Michael Palins journey.",3.0,49 mins,2930,9:30pm 22 Nov 1989,"With 22 days to go, delays, misunderstandings and a bomb impede Michael Palin's journey.","With only 22 days to go, delays, misunderstandings and a suspect bomb all conspire to impede Michael Palin's journey around the globe.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p07nl4g5.jpg
67,Documentaries,Natural World - 2018-2019: 6. Humpback Whales: A Detective Story,"BBC, iPlayer, TV, Natural World, 2018-2019: 6. Humpback Whales: A Detective Story",U,clean,Documentary about our relationship with whales and their future alongside us.,,59 mins,3548,8 Feb 2019,Documentary about our relationship with whales and their future alongside us.,Nature documentary. Tom Mustill returns to California to find out whether the humpback whale that nearly killed him three years earlier was deliberately trying to hurt him.,"On 12 September 2015, a 30-ton humpback whale breached and landed on Tom Mustill and his friend Charlotte Kinloch as they paddled a sea kayak in Monterey Bay, California. Incredibly, both survived the incident, but the near-death experience haunted documentary maker Tom and left him wondering if the whale was deliberately trying to hurt them. To find the answer, Tom returned to California in 2018 to investigate. Tom meets those who have survived similar hair-raising encounters and the experts who know the whales best. What he discovers raises far bigger questions, not just about what happened that day but also about our relationship with whales and their future alongside us.",https://ichef.bbci.co.uk/images/ic/1200x675/p06zlc8r.jpg
