category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
CBBC,Wizards vs Aliens - Series 1: 6. Rebel Magic - Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 1: 6. Rebel Magic - Part Two",PG,contains mild fantasy violence and threat,Tom and Jackson take the fight to the Nekross.,3.0,28 mins,1671,5:15pm 13 Nov 2012,Tom and Jackson take the fight to the Nekross.,"Tom and Jackson take the fight to the Nekross, but their forbidden grim magic is taking its toll on Tom. Can Benny save his best friend?","Tom and Jackson take the fight to the Nekross, but their forbidden grim magic is taking its toll on Tom. Can Benny save his best friend?",
CBBC,"The Next Step - Series 7: 20. Dance, Dance, Resurrection","BBC, iPlayer, TV, The Next Step, Series 7: 20. Dance, Dance, Resurrection",U,clean,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,3.0,22 mins,1310,5pm 15 Jul 2020,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,A-Troupe is left scrambling after one of its dancers leaves unexpectedly.,"A-Troupe reels from the news that they have lost their best dancer and turn to a familiar face to replace them. As Emily mulls over her enticing offer, Nick makes a counter offer, making it impossible for Emily to decide. Piper worries that Finn’s chronic lateness may spell trouble for A-Troupe's chances at success.",
CBBC,The Demon Headmaster - Series 1: 5. Be More Hazelbrook,"BBC, iPlayer, TV, The Demon Headmaster, Series 1: 5. Be More Hazelbrook",PG,mild threat,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,3.0,27 mins,1597,5pm 11 Nov 2019,The gang bring in a journalist to expose Hazelbrook. Can they get the truth out there?,"With the Headmaster away, the gang plan to replace him with someone who will free Hazelbrook - but their actions trigger unexpected consequences.","Lizzie is burdened by the secret of Ethan’s past, but should she tell him? While Lizzie struggles with her moral dilemma, the rest of the gang get excited at a huge opportunity - the Headmaster is leaving the school premises to tour the schools he intends to hoodwink into joining the Hazelbrook Academy chain. With the Headmaster away, the gang will play - but how?",
CBBC,Operation Ouch! - Series 7: 4. Don’t Pick Your Scabs!,"BBC, iPlayer, TV, Operation Ouch!, Series 7: 4. Don’t Pick Your Scabs!",PG,"injury detail, rude humour, threat","Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.",3.0,28 mins,1667,16 Jan 2019,"Dr Xand goes underwater to show how your blood clots, and Dr Ronx looks at echolocation.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – a navigation technique used by bats – is helping visually impaired patients.","Dr Xand goes underwater to show how your blood clots, and Dr Ronx finds out how echolocation – an amazing navigation technique used by bats to fly in the dark – is helping visually impaired patients. There’s a new body trick to make things look bigger, and it’s time to meet our first ever Ouch Award nominees. Meanwhile, in the emergency department, a broken leg requires surgery after a clash with a diving board and another patient has their finger stuck in a toy truck.",
CBBC,Horrible Histories - Series 9: 4. Precious Planet,"BBC, iPlayer, TV, Horrible Histories, Series 9: 4. Precious Planet",PG,mild injury detail,Charles Darwin hosts a look at how we’ve treated the planet throughout history. ,3.0,29 mins,1739,1 Nov 2021,Charles Darwin hosts a look at how we’ve treated the planet throughout history.,"Charles Darwin hosts a timely look at how we’ve treated the planet throughout history. With Henry VIII, the inventor of the plastic bag and Judge Rinder!","Charles Darwin presents a special show, as Horrible Histories takes a timely look at our planet and how we’ve behaved towards it throughout history.We look at how we’ve not always treated the planet's resources with the utmost care, from the 19th-century gold rush, to Henry VIII enjoying a little too much deforestation to build his warships In The Gone Show, we meet a range of animals that have recently become extinct, and we see how mankind has tried to work with and shape the land, from the earliest guides to farming to the fabulous Gardens of Versailles In Historical Educating, head teacher Mrs Thomas has trouble with her geography supply teachers (a Greek philosopher and a Viking), who seem intent on telling their pupils that the Earth is not round. We reveal that plastic bags were originally invented to save the planet, and in Time Beefs, Judge Rinder settles a dispute between environmentalist Rachel Carson and the businessmen who tried to stop her.",
CBBC,Tracy Beaker Returns - Series 3: 11. Jody Jackson,"BBC, iPlayer, TV, Tracy Beaker Returns, Series 3: 11. Jody Jackson",PG,contains mild emotional upset,A new arrival at the Dumping Ground creates chaos for Tracy and upset for Carmen.,3.0,28 mins,1673,5pm 9 Mar 2012,A new arrival at the Dumping Ground creates chaos for Tracy and upset for Carmen.,Drama set in a children's home. A new arrival at the Dumping Ground creates chaos for Tracy and upset for Carmen.,"Drama set in a children's home. Carmen and Lily plan on manipulating Mike into letting Shadow stay at the Dumping Ground with Lily when she has respite care the following week. The girls arrive back at the DG to find Jody, a wild, screaming girl who is refusing to have a bath. Carmen is told Jody has to share with her. She and Lily go to Sapphire who refuses to move in with Elektra so that Jody can have her room, and Mike then tells Lily that now things are fine with her dad, she won't need respite care anymore anyway. Tired of her hyperactive antics, Elektra locks Jody in the toy cupboard. Jody breaks free, tips a plant over Elektra's head and disappears. Tracy and Mike find her at her wreck of a family home. Her mum and brothers, who have a criminal court case pending, have left. Jody is distraught. Mike and Tracy take her back to the Dumping Ground. An upset Lily tells Carmen how she needs a break from her dad, not the other way around. She makes Carmen promise not to say anything for fear of the authorities taking her away from her dad again.",
CBBC,Malory Towers - Series 2: 13. The Lost Treasure,"BBC, iPlayer, TV, Malory Towers, Series 2: 13. The Lost Treasure",U,clean,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?",3.0,25 mins,1495,22 Nov 2021,"Darrell and Sally make a dramatic discovery, but is it enough to save Malory Towers?","It’s the last day of school, and Miss Grayling is to sign away Malory Towers for ever! Will Darrell and Sally’s dramatic discovery save the school?",No data found,
CBBC,Pokémon: Diamond and Pearl - Series 12 - Galactic Battles: 15. Trials and Adulations!,"BBC, iPlayer, TV, Pokémon: Diamond and Pearl, Series 12 - Galactic Battles: 15. Trials and Adulations!",U,clean,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,,20 mins,1223,22 Oct 2021,A fierce Aggron provides Dawn and Mamoswine with a chance to learn and grow together.,"Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water.","Making their way through a giant forest on the way to Snowpoint City, Dawn and Piplup get separated from Ash and Brock, as a fierce Aggron angrily chases them while Dawn goes for some water. Her other Pokémon can’t stand up to this menace, so she reluctantly calls out Mamoswine… who won’t listen to her commands.",
CBBC,Eve - Series 3: 4. Possession,"BBC, iPlayer, TV, Eve, Series 3: 4. Possession",PG,mild threat,Mary resorts to extreme measures to head off the threat of Cain and Price.,3.0,28 mins,1690,4:30pm 9 Nov 2016,Mary resorts to extreme measures to head off the threat of Cain and Price.,"Sci-fi drama series. Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve.","Mary resorts to extreme measures to head off the threat of Cain and Price, enlisting KT to help her temporarily transfer her consciousness to Eve. With KT missing, a distracted Nick and Katherine welcome back Zac, who is helping them answer questions about how Mary was able to duplicate his personality. Excited about Zac's return, Eve suggests he join the gang's picnic that afternoon. To everyone's surprise Zac brings his new girlfriend, and for the first time Eve experiences jealousy. Spotting KT hovering nearby puts Eve on high alert. Operating under Protocol Zero, KT is Mary's automaton, and is primed to execute her mother's plan.",
CBBC,Shaun the Sheep - Series 5: 20. Sheep Farmer,"BBC, iPlayer, TV, Shaun the Sheep, Series 5: 20. Sheep Farmer",U,clean,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,,7 mins,420,3:50pm 18 Nov 2016,Timmy sees a particularly grumpy farmer giving one of the flock a hard time.,"Animated Series. When Timmy sees a farmer giving one of the flock a hard time, he decides to show him what it's like to be a sheep.","When Timmy sees a particularly grumpy farmer giving one of the flock a hard time, he decides to give him an idea of what it's like to be a sheep. But when the time comes to have the old farmer back, things aren't quite so simple.",
CBBC,Boy Girl Dog Cat Mouse Cheese - Series 1: 36. Family Photo,"BBC, iPlayer, TV, Boy Girl Dog Cat Mouse Cheese, Series 1: 36. Family Photo",U,clean,The kids accidentally destroy a beloved family photo.,,11 mins,661,7:35am 25 Jun 2020,The kids accidentally destroy a beloved family photo.,The kids accidentally destroy a beloved family photo and decide to make it up to Mom and Dad by hiring a photographer to take a new one.,No data found,
CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,contains mild fantasy violence and threat,Tom and Benny suffer from Gemma Ravens curse.,3.0,28 mins,1706,5pm 19 Nov 2013,Tom and Benny suffer from Gemma Raven's curse.,"Fantasy adventure drama. Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why.","Tom and Benny suffer from Gemma Raven's curse - they hate each other, without knowing why. But can friendship overcome the darkest powers of magic?",
CBBC,Danger Mouse - Series 1: 24. Escape from Big Head,"BBC, iPlayer, TV, Danger Mouse, Series 1: 24. Escape from Big Head",U,very mild fantasy action,The Big Head base computer locks up everyone in a maximum security prison.,,11 mins,664,7:25am 24 Feb 2016,The Big Head base computer locks up everyone in a maximum security prison.,"Animated series. Squawkencluck reboots the Big Head base computer, which immediately locks up everyone in a maximum security prison.","Squawkencluck reboots the now 100 per cent reliable Big Head base computer, which immediately locks up everyone in a maximum security prison.",
CBBC,Horrible Histories - Series 7: 8. Ruthless Rulers,"BBC, iPlayer, TV, Horrible Histories, Series 7: 8. Ruthless Rulers",PG,"mild comic violence, rude humor",A look at the most ruthless rulers of all time. Featuring Henry VIII and the Vikings.,3.0,28 mins,1690,5:25pm 4 Sep 2017,A look at the most ruthless rulers of all time. Featuring Henry VIII and the Vikings.,"A look at the most ruthless rulers of all time. Hold your nose in Versailles, because Louis XIV hasn't got any loos.","Get ready for some serious bad behaviour, as Horrible Histories brings you the most ruthless rulers of all time. Henry VIII is so demanding he has a brick wall built at his bedroom door every night, those vicious Vikings find that sorry seems to be the hardest word, hold your nose in Versailles because Louis XIV hasn't got any loos, and rock out with the Warlords from Hell - take it away Genghis and Vlad.",
CBBC,Danger Mouse - Series 1: 5. Pink Dawn,"BBC, iPlayer, TV, Danger Mouse, Series 1: 5. Pink Dawn",U,very mild fantasy action,Supervillain the Princess is determined to pinkify the world.,,11 mins,666,2 Oct 2015,Supervillain the Princess is determined to pinkify the world.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us.,Animated series. Supervillain the Princess is determined to pinkify the world. Only Danger Mouse dressed as a little girl can save us!,
Films,Amundsen,"BBC, iPlayer, TV, Amundsen",12,"moderate threat, violence, injury detail",Film drama that tells the life story of Norwegian polar explorer Roald Amundsen.,1.0,117 mins,7022,2019,Film drama that tells the life story of Norwegian polar explorer Roald Amundsen.,"Film drama that tells the life story of explorer Roald Amundsen, whose obsession with conquering both poles came at a cost - to family and colleagues alike.","Inspired by a gift from his father when he was a child, Roald Amundsen became fascinated by the polar wildernesses. It was an obsession that drove to him explore both poles. He led the first expedition to the South Pole in 1911 as well as the first proven to have reached the North Pole, in a dirigible, in 1926. His achievements, however, came at a cost to both his family and his colleagues. In Norwegian and English with English subtitles.",https://ichef.bbci.co.uk/images/ic/1200x675/p08yzglx.jpg
Films,Small Axe - Series 1: Education,"BBC, iPlayer, TV, Small Axe, Series 1: Education",15,"strong language, racism, domestic abuse, drug misuse","The story of 12-year-old Kingsley, a victim of an unofficial segregation policy.",2.0,63 mins,3780,9pm 13 Dec 2020,"The story of 12-year-old Kingsley, a victim of an unofficial segregation policy.","When 12-year-old Kingsley is transferred to a special-needs school, a group of women uncover an unofficial segregation policy preventing many black children from receiving the education they deserve.","When 12-year-old Kingsley is transferred to a special-needs school, a group of West Indian women uncover an unofficial segregation policy preventing many black children from receiving the education they deserve.",https://ichef.bbci.co.uk/images/ic/1200x675/p08zqc8x.jpg
Films,Apostasy,"BBC, iPlayer, TV, Apostasy",PG,"mild bad language, upsetting scenes",A member of a Jehovahs Witness congregation is challenged when her sister transgresses.,3.0,90 mins,5370,2015,A member of a Jehovah's Witness congregation is challenged when her sister transgresses.,"Drama. Alex, a faithful member of the Jehovah's Witness congregation in Oldham, is challenged when her sister transgresses and is barred from the faith.","Just turned 18, Alex, a faithful member of the Jehovah's Witness congregation in Oldham, is challenged when her sister transgresses and is barred from the faith.Part of the British Film Premiere season from BBC Film and the BFI.",https://ichef.bbci.co.uk/images/ic/1200x675/p08w4fgk.jpg
Films,The Peanut Butter Falcon,"BBC, iPlayer, TV, The Peanut Butter Falcon",12,"moderate violence, threat, discrimination, infrequent strong language",A young man with Down syndrome tries to pursue his dream of becoming a wrestler.,3.0,89 mins,5336,2019,A young man with Down syndrome tries to pursue his dream of becoming a wrestler.,A young man with Down syndrome runs away from his care home to pursue his dream of becoming a wrestler.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p09r63dv.jpg
Films,Bill,"BBC, iPlayer, TV, Bill",PG,"mild bad language, sex references, violence",Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.,3.0,87 mins,5230,2015,Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.,"Family comedy from the performers of Horrible Histories. Young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London.","1593. While King Philip of Spain plots to kill Queen Elizabeth of England, young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London - despite the theatres being closed due to plague. Luckily the Queen desires a new play - unluckily she chooses creepy Lord Crawley to write it.",https://ichef.bbci.co.uk/images/ic/1200x675/p07j6wv1.jpg
Films,The Titfield Thunderbolt,"BBC, iPlayer, TV, The Titfield Thunderbolt",U,contains very mild violence,Ealing comedy about a villages battle to save their railway line. With Stanley Holloway.,1.0,80 mins,4799,1953,Ealing comedy about a village's battle to save their railway line. With Stanley Holloway.,"Ealing comedy about a group of villagers who battle to preserve the local railway line by running it themselves, until they are sabotaged in a midnight raid by a rival bus company.","Ealing comedy about a group of villagers and their battle to preserve the local railway line by running it themselves, an enterprise that goes well until they are sabotaged in a midnight raid by the rival bus company. Undaunted, they wheel out the Thunderbolt, an ancient exhibit in the village museum. Now all that remains is to put on a satisfactory run for the stickler of a government inspector.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bffzgs.jpg
Films,Lara Croft: Tomb Raider,"BBC, iPlayer, TV, Lara Croft: Tomb Raider",15,contains frequent moderate violence,The heroine races against time to find a relic before it falls into the wrong hands.,3.0,94 mins,5614,2001,The heroine races against time to find a relic before it falls into the wrong hands.,Action tale adapted from the popular video game in which the eponymous heroine (Angelina Jolie) races against time to find an ancient relic before it falls into the wrong hands.,"Action tale adapted from the popular video game in which the eponymous heroine races against time to find an ancient relic before it falls into the wrong hands. Leaving behind her life of luxury, the highly trained adventurer travels to exotic and dangerous locales, where she battles a variety of fantastical creatures in the knowledge that the fate of mankind rests in her hands.",https://ichef.bbci.co.uk/images/ic/1200x675/p07j8bh3.jpg
Films,The Keeper,"BBC, iPlayer, TV, The Keeper",15,strong language,"At the end of WWII, Bert Trautmann stays in the UK for love and a football career.",1.0,109 mins,6554,2018,"At the end of WWII, Bert Trautmann stays in the UK for love and a football career.","Recruited from the local prisoner-of-war camp by the manager of non-league St Helens, Bert Trautmann has to overcome the prejudices of his fellow team members.","Recruited from the local prisoner-of-war camp by the manager of non-league St Helens, Bert Trautmann has to overcome the prejudices of his fellow team members who are all appalled at the prospect of playing with the enemy. At the end of the war, Bert is free to return to his home in Bremen, but his growing connection with Margaret, the boss's daughter, leads him to stay and pursue a career in professional football.",https://ichef.bbci.co.uk/images/ic/1200x675/p09tvgks.jpg
Films,20th Century Women,"BBC, iPlayer, TV, 20th Century Women",15,"strong sex references, strong language, drug misuse",A single mother persuades a friend to give her son some lessons in living life.,3.0,109 mins,6556,2016,A single mother persuades a friend to give her son some lessons in living life.,Single mother Dorothea is concerned about the lack of a male role model for her impressionable son and persuades teenage friend Julie to give him some lessons in living life as it should be lived.,"In Santa Barbara in 1979, 15-year-old Jamie lives with his single mother Dorothea in a shared house. Dorothea is concerned about the lack of a male role model for her impressionable son and persuades lodger Abbie and Jamie's teenage friend Julie to give him some lessons in living life as it should be lived.",https://ichef.bbci.co.uk/images/ic/1200x675/p07lbssp.jpg
Films,Citizen Kane,"BBC, iPlayer, TV, Citizen Kane",U,mild violence,"The story of newspaper magnate Charles Foster Kane, told in a series of flashbacks.",1.0,119 mins,7161,1941,"The story of newspaper magnate Charles Foster Kane, told in a series of flashbacks.","A landmark in the history of cinema, telling the story of newspaper magnate Charles Foster Kane in a series of flashbacks. Starring Orson Welles.","Frequently voted one of the best films ever made, Orson Welles's masterpiece tells the story of newspaper magnate Charles Foster Kane in a series of flashbacks. A reporter is intrigued by the dying Kane's last word - rosebud - and sets out to find a new angle on the life of one of the most powerful men in America. Nine Oscar nominations resulted in only one award for the outspoken Welles - Best Screenplay.",https://ichef.bbci.co.uk/images/ic/1200x675/p08cbx9l.jpg
Films,In the Heat of the Night,"BBC, iPlayer, TV, In the Heat of the Night",12,"moderate threat, sex references, racist language",A bigoted sheriff of a Mississippi town has to collaborate with a black detective.,3.0,106 mins,6331,1967,A bigoted sheriff of a Mississippi town has to collaborate with a black detective.,Thriller about the bigoted sheriff (Rod Steiger) of a small Mississippi town who finds himself forced into collaboration with a black detective (Sidney Poitier) from Philadelphia.,"Oscar-winning thriller about the bigoted sheriff in a small Mississippi cotton town who finds himself forced into collaboration with a black homicide expert from Philadelphia.Sparta, Mississippi is a small, quiet town broiling on a steamy September night. At the train station Virgil Tibbs, a solitary black man from out of town, is arrested for the murder of a rich northern industrialist. Police chief Gillespie has no experience of a murder inquiry and subjects Tibbs to a bigoted, insolent interrogation. But when Tibbs reveals himself to be a top city homicide cop, his is just the assistance Gillespie can do without.",https://ichef.bbci.co.uk/images/ic/1200x675/p07jx46c.jpg
Films,My Feral Heart,"BBC, iPlayer, TV, My Feral Heart",12,"infrequent strong language, moderate sex references",A young man with Down’s syndrome is forced into a care home after the death of his mother.,3.0,75 mins,4500,2016,A young man with Down’s syndrome is forced into a care home after the death of his mother.,"Film drama. Luke, a young man with Down’s syndrome who prizes his independence, is forced into a care home after his mother dies. There he makes friends with a mysterious girl.","Luke, a young man with Down’s syndrome who prizes his independence, is forced into a care home after the death of his mother. There he rails against the restrictions imposed on him, but his frustrations are allayed by his budding friendships with his care worker Eve and a mysterious feral girl.",https://ichef.bbci.co.uk/images/ic/1200x675/p099dmwd.jpg
Films,A Lonely Place to Die,"BBC, iPlayer, TV, A Lonely Place to Die",15,"contains strong language, bloody violence",A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,3.0,95 mins,5708,10pm 23 Jan 2021,A group of mountaineers discover a Serbian girl held captive in the Scottish Highlands.,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.,A group of five mountaineers are hiking and climbing in the Scottish Highlands when they discover a young Serbian girl buried in a small chamber in the wilderness.They become caught up in a terrifying game of cat and mouse with the kidnappers as they try to get the girl to safety.,https://ichef.bbci.co.uk/images/ic/1200x675/p094bkdv.jpg
Films,The Man in the White Suit,"BBC, iPlayer, TV, The Man in the White Suit",U,satire jokes,Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.,1.0,82 mins,4912,1951,Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.,Biting Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre but finds that everyone wants to destroy his formula.,"Biting Ealing satire about an eccentric research scientist working in a menial job in a textile factory, who invents a fabric that never gets dirty and never wears out. When the tycoons of the clothes industry discover his secret, they ruthlessly set out to destroy the formula, and the scientist is forced to go on the run, wearing a suit made from the miracle yarn, with just about everyone in pursuit.",https://ichef.bbci.co.uk/images/ic/1200x675/p09pcs1c.jpg
Films,Blind Ambition,"BBC, iPlayer, TV, Blind Ambition",12,"infrequent strong language, brief real violence",Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,2.0,59 mins,3549,10pm 1 Aug 2021,Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,TV director Jamie O’Leary faces eye surgery that could lead to sight loss. He goes on a journey with blind comedian Jamie MacDonald to see how blind artists achieve their vision.,"Jamie O’Leary has terrible sight, and is now facing eye surgery that could potentially lead to sight loss. A television director for almost 20 years, Jamie has produced groundbreaking programmes that take a fresh look at disability, as well as making popular travelogue shows with some of the UK’s funniest talent, including Karl Pilkington, Romesh Ranganathan and Katherine Ryan.At this pivotal point in his life, O’Leary wants to explore how people cope with sight loss and how blind artists achieve their creative vision of a world they see from a unique perspective. So he has hooked up with blind observational comedian Jamie MacDonald to bring light and shade to facing the condition. Together, they’re on a blind-leading-the-nearly-blind mission to uncover and collaborate with the best blind creative talent.",https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg
